# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.151600e+00
# lRef        : 1.000000e+00
# Aref        : 9.975641e-04
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	-5.604114e-02	3.750823e+00	4.739895e-03	-5.367119e-02	5.841109e-02
5             	3.383101e+02	9.453238e+00	8.994337e+01	3.832818e+02	-2.933384e+02
10            	3.616264e+02	1.001398e+01	9.627407e+01	4.097634e+02	-3.134893e+02
15            	3.697975e+02	9.801870e+00	9.879276e+01	4.191939e+02	-3.204011e+02
20            	3.691863e+02	9.275046e+00	9.900338e+01	4.186880e+02	-3.196846e+02
25            	3.621453e+02	8.702004e+00	9.747704e+01	4.108838e+02	-3.134068e+02
30            	3.548202e+02	8.202329e+00	9.588109e+01	4.027607e+02	-3.068796e+02
35            	3.460060e+02	7.803529e+00	9.387728e+01	3.929446e+02	-2.990673e+02
40            	3.374938e+02	7.620873e+00	9.183098e+01	3.834093e+02	-2.915783e+02
45            	3.421130e+02	8.100942e+00	9.327039e+01	3.887482e+02	-2.954778e+02
50            	3.411910e+02	8.289659e+00	9.327239e+01	3.878272e+02	-2.945548e+02
55            	3.298033e+02	8.289272e+00	9.036167e+01	3.749841e+02	-2.846225e+02
60            	3.226956e+02	8.801448e+00	8.847235e+01	3.669318e+02	-2.784594e+02
65            	3.316157e+02	1.000434e+01	9.086850e+01	3.770499e+02	-2.861814e+02
70            	3.342723e+02	1.034058e+01	9.154021e+01	3.800424e+02	-2.885022e+02
75            	3.235269e+02	9.962895e+00	8.868142e+01	3.678676e+02	-2.791862e+02
80            	3.233284e+02	1.028665e+01	8.870114e+01	3.676790e+02	-2.789779e+02
85            	3.513399e+02	1.131912e+01	9.633507e+01	3.995074e+02	-3.031724e+02
90            	3.986944e+02	1.214060e+01	1.093558e+02	4.533723e+02	-3.440165e+02
95            	4.786829e+02	1.352628e+01	1.314031e+02	5.443845e+02	-4.129814e+02
100           	5.101117e+02	1.330684e+01	1.404262e+02	5.803248e+02	-4.398986e+02
105           	5.069166e+02	1.324354e+01	1.398001e+02	5.768167e+02	-4.370166e+02
110           	5.315345e+02	1.457504e+01	1.465015e+02	6.047853e+02	-4.582837e+02
115           	5.556193e+02	1.637409e+01	1.530464e+02	6.321424e+02	-4.790961e+02
120           	5.724925e+02	1.820709e+01	1.576167e+02	6.513008e+02	-4.936841e+02
125           	5.714309e+02	1.868233e+01	1.574902e+02	6.501760e+02	-4.926858e+02
130           	5.303787e+02	1.686983e+01	1.468809e+02	6.038191e+02	-4.569382e+02
135           	4.734875e+02	1.437457e+01	1.321373e+02	5.395561e+02	-4.074188e+02
140           	4.537630e+02	1.416750e+01	1.267191e+02	5.171225e+02	-3.904035e+02
145           	4.278257e+02	1.379420e+01	1.196040e+02	4.876277e+02	-3.680237e+02
150           	5.345577e+02	1.914046e+01	1.475811e+02	6.083483e+02	-4.607672e+02
155           	5.740026e+02	2.206995e+01	1.580133e+02	6.530092e+02	-4.949959e+02
160           	6.018787e+02	2.351985e+01	1.657458e+02	6.847516e+02	-5.190058e+02
165           	6.036556e+02	2.396975e+01	1.665732e+02	6.869422e+02	-5.203690e+02
170           	5.554939e+02	2.255126e+01	1.540990e+02	6.325434e+02	-4.784444e+02
175           	4.448992e+02	1.864586e+01	1.245673e+02	5.071829e+02	-3.826156e+02
180           	3.609474e+02	1.644425e+01	1.017524e+02	4.118237e+02	-3.100712e+02
185           	3.302865e+02	1.689921e+01	9.295550e+01	3.767643e+02	-2.838088e+02
190           	2.835805e+02	1.541659e+01	8.015783e+01	3.236594e+02	-2.435016e+02
195           	2.862013e+02	1.331358e+01	8.105829e+01	3.267305e+02	-2.456722e+02
200           	3.125462e+02	1.209117e+01	8.864742e+01	3.568699e+02	-2.682224e+02
205           	3.538818e+02	1.139074e+01	1.005390e+02	4.041513e+02	-3.036123e+02
210           	3.941186e+02	1.175068e+01	1.116953e+02	4.499663e+02	-3.382710e+02
215           	3.701676e+02	1.213906e+01	1.047764e+02	4.225558e+02	-3.177793e+02
220           	3.634462e+02	1.366701e+01	1.022397e+02	4.145661e+02	-3.123264e+02
225           	3.537938e+02	1.507231e+01	9.937924e+01	4.034834e+02	-3.041042e+02
230           	3.280170e+02	1.667978e+01	9.197240e+01	3.740032e+02	-2.820308e+02
235           	2.855344e+02	1.814055e+01	7.965714e+01	3.253629e+02	-2.457058e+02
240           	2.734323e+02	1.711568e+01	7.654629e+01	3.117055e+02	-2.351592e+02
245           	2.548379e+02	1.623365e+01	7.172750e+01	2.907017e+02	-2.189742e+02
250           	1.732715e+02	1.607053e+01	4.863369e+01	1.975883e+02	-1.489546e+02
255           	8.657630e+01	1.326827e+01	2.475877e+01	9.895568e+01	-7.419691e+01
260           	8.925686e+01	1.073651e+01	2.565386e+01	1.020838e+02	-7.642993e+01
265           	2.127264e+02	1.186620e+01	5.971376e+01	2.425833e+02	-1.828695e+02
270           	2.277797e+02	1.292533e+01	6.363704e+01	2.595982e+02	-1.959612e+02
275           	4.776303e+01	9.665130e+00	1.419876e+01	5.486241e+01	-4.066365e+01
280           	7.153292e+01	1.063208e+01	2.010333e+01	8.158459e+01	-6.148126e+01
285           	1.876383e+02	1.237252e+01	5.153000e+01	2.134033e+02	-1.618733e+02
