# Force coefficient bins
# bins        : 20
# start       : 3.000355e+00
# delta       : 4.982248e-02
# direction   : (1.000000e+00 0.000000e+00 0.000000e+00)
# x co-ords  :	3.050177e+00	3.100000e+00	3.149822e+00	3.199645e+00	3.249467e+00	3.299290e+00	3.349112e+00	3.398935e+00	3.448757e+00	3.498580e+00	3.548402e+00	3.598225e+00	3.648047e+00	3.697870e+00	3.747692e+00	3.797515e+00	3.847337e+00	3.897160e+00	3.946982e+00	3.996805e+00
# y co-ords  :	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# z co-ords  :	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# Time        	Cm(0)         	Cd(0)         	Cl(0)         	Cm(1)         	Cd(1)         	Cl(1)         	Cm(2)         	Cd(2)         	Cl(2)         	Cm(3)         	Cd(3)         	Cl(3)         	Cm(4)         	Cd(4)         	Cl(4)         	Cm(5)         	Cd(5)         	Cl(5)         	Cm(6)         	Cd(6)         	Cl(6)         	Cm(7)         	Cd(7)         	Cl(7)         	Cm(8)         	Cd(8)         	Cl(8)         	Cm(9)         	Cd(9)         	Cl(9)         	Cm(10)        	Cd(10)        	Cl(10)        	Cm(11)        	Cd(11)        	Cl(11)        	Cm(12)        	Cd(12)        	Cl(12)        	Cm(13)        	Cd(13)        	Cl(13)        	Cm(14)        	Cd(14)        	Cl(14)        	Cm(15)        	Cd(15)        	Cl(15)        	Cm(16)        	Cd(16)        	Cl(16)        	Cm(17)        	Cd(17)        	Cl(17)        	Cm(18)        	Cd(18)        	Cl(18)        	Cm(19)        	Cd(19)        	Cl(19)        
0             	-3.019446e-02	4.004891e-01	-9.097624e-03	-6.032958e-02	6.451553e-01	-1.752044e-02	-8.237626e-02	8.521440e-01	-2.308245e-02	-9.461502e-02	1.007530e+00	-2.569679e-02	-1.066933e-01	1.185125e+00	-2.801480e-02	-1.211048e-01	1.361944e+00	-3.093105e-02	-1.381654e-01	1.538569e+00	-3.445761e-02	-1.558518e-01	1.702308e+00	-3.831059e-02	-1.720234e-01	1.864923e+00	-4.101890e-02	-1.875039e-01	2.037796e+00	-4.349560e-02	-2.005102e-01	2.208639e+00	-4.514886e-02	-2.111865e-01	2.365614e+00	-4.637913e-02	-2.179202e-01	2.533818e+00	-4.617128e-02	-2.205885e-01	2.701085e+00	-4.489593e-02	-2.173646e-01	2.856243e+00	-4.218481e-02	-2.100840e-01	3.022554e+00	-3.852976e-02	-1.984076e-01	3.176606e+00	-3.409612e-02	-1.744558e-01	3.345419e+00	-2.659736e-02	-1.322144e-01	3.523639e+00	-1.485810e-02	-5.604114e-02	3.750823e+00	4.739895e-03
5             	-3.310076e+01	4.446591e+00	-1.092365e+01	-4.165301e+01	3.967582e+00	-1.370981e+01	-3.892477e+01	2.699609e+00	-1.286187e+01	-3.449807e+01	1.614139e+00	-1.148552e+01	-3.174030e+01	3.921743e-01	-1.064961e+01	-2.793694e+01	-2.839560e-01	-9.510129e+00	-2.037840e+01	-3.142283e-01	-7.257200e+00	-1.025541e+01	1.911685e-01	-4.264013e+00	1.130590e+01	9.260614e-01	2.045194e+00	3.436276e+01	1.799288e+00	8.698351e+00	6.045556e+01	2.527042e+00	1.612074e+01	8.583942e+01	2.995870e+00	2.324223e+01	1.163215e+02	3.477295e+00	3.167696e+01	1.483354e+02	3.914131e+00	4.040790e+01	1.789993e+02	4.414777e+00	4.865789e+01	2.131474e+02	4.951413e+00	5.772178e+01	2.467218e+02	5.568503e+00	6.651482e+01	2.831656e+02	6.639051e+00	7.593650e+01	3.175570e+02	8.207786e+00	8.471263e+01	3.383101e+02	9.453238e+00	8.994337e+01
10            	-3.553112e+01	5.045025e+00	-1.172372e+01	-4.359387e+01	4.241188e+00	-1.435559e+01	-4.137761e+01	2.952617e+00	-1.367113e+01	-3.610816e+01	1.765759e+00	-1.203154e+01	-3.197873e+01	4.911517e-01	-1.077145e+01	-2.711736e+01	-2.166849e-01	-9.309556e+00	-1.825575e+01	-2.743691e-01	-6.665336e+00	-6.819993e+00	2.061688e-01	-3.283042e+00	1.611564e+01	9.293341e-01	3.428047e+00	4.065314e+01	1.798148e+00	1.050832e+01	6.810434e+01	2.532324e+00	1.831694e+01	9.480183e+01	3.010004e+00	2.580686e+01	1.268693e+02	3.514438e+00	3.468031e+01	1.605621e+02	3.984073e+00	4.386937e+01	1.929144e+02	4.529474e+00	5.257389e+01	2.288325e+02	5.117610e+00	6.210778e+01	2.639145e+02	5.782958e+00	7.129605e+01	3.016635e+02	6.904518e+00	8.105572e+01	3.365364e+02	8.468738e+00	8.995467e+01	3.616264e+02	1.001398e+01	9.627407e+01
15            	-3.574629e+01	5.236282e+00	-1.179534e+01	-4.307124e+01	4.273811e+00	-1.419011e+01	-4.009949e+01	2.900157e+00	-1.326556e+01	-3.446846e+01	1.682227e+00	-1.151274e+01	-2.952441e+01	3.864864e-01	-1.000063e+01	-2.365497e+01	-3.387247e-01	-8.231229e+00	-1.363999e+01	-4.195842e-01	-5.240305e+00	-1.007055e+00	3.293822e-02	-1.503170e+00	2.317731e+01	7.336885e-01	5.573153e+00	4.887971e+01	1.583760e+00	1.298952e+01	7.715536e+01	2.312970e+00	2.103266e+01	1.043497e+02	2.795079e+00	2.866204e+01	1.368999e+02	3.312336e+00	3.766930e+01	1.710269e+02	3.797206e+00	4.697702e+01	2.037371e+02	4.358092e+00	5.577800e+01	2.397715e+02	4.956623e+00	6.534295e+01	2.745369e+02	5.618189e+00	7.444849e+01	3.111612e+02	6.694403e+00	8.391761e+01	3.437684e+02	8.119414e+00	9.223813e+01	3.697975e+02	9.801870e+00	9.879276e+01
20            	-3.507003e+01	5.323906e+00	-1.157336e+01	-4.172757e+01	4.199706e+00	-1.375366e+01	-3.807860e+01	2.715992e+00	-1.261426e+01	-3.188203e+01	1.447107e+00	-1.068436e+01	-2.602372e+01	1.197270e-01	-8.889515e+00	-1.918976e+01	-6.335388e-01	-6.825987e+00	-8.226150e+00	-7.419883e-01	-3.549985e+00	5.228190e+00	-3.127074e-01	4.306854e-01	3.024554e+01	3.748064e-01	7.750612e+00	5.679865e+01	1.216064e+00	1.541243e+01	8.556139e+01	1.948797e+00	2.359425e+01	1.127118e+02	2.446046e+00	3.121167e+01	1.449225e+02	2.985214e+00	4.012556e+01	1.785390e+02	3.488401e+00	4.929460e+01	2.107093e+02	4.056901e+00	5.795061e+01	2.458298e+02	4.649035e+00	6.727317e+01	2.792476e+02	5.281434e+00	7.602589e+01	3.135380e+02	6.265313e+00	8.489158e+01	3.431573e+02	7.521879e+00	9.244906e+01	3.691863e+02	9.275046e+00	9.900338e+01
25            	-3.410243e+01	5.398293e+00	-1.125492e+01	-4.009478e+01	4.167281e+00	-1.321994e+01	-3.591370e+01	2.597702e+00	-1.191188e+01	-2.915090e+01	1.293274e+00	-9.804463e+00	-2.239869e+01	-5.379895e-02	-7.732974e+00	-1.462066e+01	-8.266146e-01	-5.381433e+00	-2.814839e+00	-9.619615e-01	-1.852229e+00	1.129621e+01	-5.619931e-01	2.323153e+00	3.668373e+01	1.044374e-01	9.751315e+00	6.365571e+01	9.286340e-01	1.753395e+01	9.262968e+01	1.656732e+00	2.577595e+01	1.194249e+02	2.164892e+00	3.329417e+01	1.506599e+02	2.724364e+00	4.193887e+01	1.829288e+02	3.242050e+00	5.074101e+01	2.138217e+02	3.804672e+00	5.905361e+01	2.472974e+02	4.369738e+00	6.793970e+01	2.787034e+02	4.948582e+00	7.616547e+01	3.099695e+02	5.806778e+00	8.424896e+01	3.369065e+02	6.928587e+00	9.112114e+01	3.621453e+02	8.702004e+00	9.747704e+01
30            	-3.299433e+01	5.427873e+00	-1.088977e+01	-3.811557e+01	4.132988e+00	-1.257215e+01	-3.328770e+01	2.509849e+00	-1.105853e+01	-2.586421e+01	1.176957e+00	-8.743793e+00	-1.824060e+01	-1.901544e-01	-6.402593e+00	-9.573459e+00	-9.814015e-01	-3.779817e+00	3.066742e+00	-1.139957e+00	2.864416e-04	1.776151e+01	-7.658387e-01	4.348742e+00	4.352390e+01	-1.220767e-01	1.188650e+01	7.073513e+01	6.790956e-01	1.973815e+01	9.976288e+01	1.395268e+00	2.799548e+01	1.261085e+02	1.913082e+00	3.538804e+01	1.560166e+02	2.503198e+00	4.366674e+01	1.862792e+02	3.051090e+00	5.192279e+01	2.155808e+02	3.610059e+00	5.980751e+01	2.473520e+02	4.144135e+00	6.824118e+01	2.768114e+02	4.667177e+00	7.595700e+01	3.055405e+02	5.420252e+00	8.338410e+01	3.317162e+02	6.542020e+00	9.006165e+01	3.548202e+02	8.202329e+00	9.588109e+01
35            	-3.173417e+01	5.473517e+00	-1.047420e+01	-3.578209e+01	4.153670e+00	-1.180848e+01	-3.012138e+01	2.510499e+00	-1.002938e+01	-2.202589e+01	1.164147e+00	-7.503577e+00	-1.366852e+01	-2.154769e-01	-4.935180e+00	-4.281387e+00	-1.020572e+00	-2.092746e+00	9.051805e+00	-1.197728e+00	1.895776e+00	2.423913e+01	-8.463213e-01	6.390375e+00	5.027651e+01	-2.232633e-01	1.400849e+01	7.770713e+01	5.525892e-01	2.192340e+01	1.066320e+02	1.246792e+00	3.015155e+01	1.322335e+02	1.767685e+00	3.733586e+01	1.600601e+02	2.399008e+00	4.504031e+01	1.871878e+02	2.999401e+00	5.244288e+01	2.148184e+02	3.547294e+00	5.987799e+01	2.451755e+02	4.036324e+00	6.793620e+01	2.728876e+02	4.497159e+00	7.519415e+01	2.996941e+02	5.169599e+00	8.212354e+01	3.261551e+02	6.355382e+00	8.887425e+01	3.460060e+02	7.803529e+00	9.387728e+01
40            	-3.040358e+01	5.515485e+00	-1.003535e+01	-3.338120e+01	4.177009e+00	-1.102276e+01	-2.682364e+01	2.526740e+00	-8.957521e+00	-1.813298e+01	1.175089e+00	-6.244698e+00	-9.239200e+00	-2.111688e-01	-3.510164e+00	6.298438e-01	-1.024269e+00	-5.206620e-01	1.440408e+01	-1.213660e+00	3.600530e+00	2.994024e+01	-8.810116e-01	8.198669e+00	5.609074e+01	-2.762127e-01	1.584988e+01	8.351415e+01	4.798017e-01	2.376272e+01	1.119476e+02	1.161744e+00	3.185133e+01	1.358886e+02	1.707355e+00	3.857096e+01	1.600829e+02	2.410736e+00	4.527282e+01	1.839064e+02	3.045379e+00	5.177461e+01	2.107649e+02	3.535482e+00	5.900126e+01	2.398513e+02	3.946324e+00	6.672203e+01	2.656306e+02	4.320032e+00	7.347324e+01	2.908261e+02	4.917076e+00	7.998505e+01	3.175626e+02	6.144154e+00	8.680689e+01	3.374938e+02	7.620873e+00	9.183098e+01
45            	-2.902917e+01	5.556729e+00	-9.582053e+00	-3.092655e+01	4.195629e+00	-1.021949e+01	-2.337755e+01	2.538599e+00	-7.837995e+00	-1.397360e+01	1.184242e+00	-4.901032e+00	-4.400951e+00	-2.065144e-01	-1.956254e+00	6.092176e+00	-1.027033e+00	1.223702e+00	2.054118e+01	-1.231089e+00	5.547787e+00	3.677402e+01	-9.242327e-01	1.035254e+01	6.342545e+01	-3.452488e-01	1.815032e+01	9.108389e+01	3.904707e-01	2.613111e+01	1.188133e+02	1.089854e+00	3.402010e+01	1.403500e+02	1.713077e+00	4.006700e+01	1.617359e+02	2.484306e+00	4.599316e+01	1.848330e+02	3.099287e+00	5.229590e+01	2.112880e+02	3.546120e+00	5.941373e+01	2.394175e+02	3.908805e+00	6.688030e+01	2.643665e+02	4.252965e+00	7.341373e+01	2.911547e+02	4.961112e+00	8.033741e+01	3.192266e+02	6.306987e+00	8.750245e+01	3.421130e+02	8.100942e+00	9.327039e+01
