# Residuals   
# Time        	p             	Ux            	Uy            	k             	omega         	ReThetat      	gammaInt      
0             	N/A	N/A	N/A	N/A	N/A	N/A
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	9.757147e-01	1.000000e+00	1.000000e+00
2             	1.267161e-01	1.832509e-01	2.767957e-01	4.806183e-01	6.303348e-01	2.002973e-01	3.127399e-02
3             	1.120149e-01	2.028703e-02	5.806944e-02	3.135421e-01	3.689637e-01	1.323981e-01	1.508628e-02
4             	2.900692e-01	1.302726e-02	3.280731e-02	2.318248e-01	2.598341e-01	9.394187e-02	1.139849e-02
5             	1.992764e-01	1.051102e-02	1.999749e-02	1.835092e-01	2.001645e-01	7.507473e-02	9.663666e-03
6             	1.353956e-01	9.171717e-03	1.593940e-02	1.516297e-01	1.625252e-01	6.122907e-02	8.654306e-03
7             	9.390662e-02	8.648532e-03	1.278581e-02	1.290296e-01	1.366221e-01	5.314363e-02	8.058685e-03
8             	9.536091e-02	8.040742e-03	1.165366e-02	1.121785e-01	1.177230e-01	4.593719e-02	7.577708e-03
9             	7.197197e-02	7.763509e-03	9.683592e-03	9.913587e-02	1.033216e-01	4.166550e-02	7.234960e-03
10            	7.144870e-02	7.316689e-03	9.146975e-03	8.874030e-02	9.199256e-02	3.720475e-02	6.947521e-03
11            	5.776597e-02	7.102798e-03	7.829058e-03	8.026421e-02	8.284663e-02	3.457452e-02	6.696752e-03
12            	5.576627e-02	6.757506e-03	7.554911e-03	7.322189e-02	7.530640e-02	3.153107e-02	6.489183e-03
13            	4.445718e-02	6.610532e-03	6.662456e-03	6.727861e-02	6.898630e-02	2.975740e-02	6.285538e-03
14            	4.380141e-02	6.352424e-03	6.498071e-03	6.219544e-02	6.361253e-02	2.753143e-02	6.095865e-03
15            	3.642870e-02	6.238512e-03	5.838861e-03	5.780004e-02	5.898755e-02	2.624107e-02	5.908420e-03
16            	3.534960e-02	6.053617e-03	5.742769e-03	5.396217e-02	5.496522e-02	2.453558e-02	5.730104e-03
17            	3.044896e-02	5.966573e-03	5.253481e-03	5.058237e-02	5.143393e-02	2.353701e-02	5.554915e-03
18            	2.951279e-02	5.838935e-03	5.189995e-03	4.758322e-02	4.830979e-02	2.219852e-02	5.377105e-03
19            	2.609841e-02	5.781176e-03	4.824670e-03	4.490336e-02	4.552660e-02	2.137842e-02	5.210167e-03
20            	2.534738e-02	5.697377e-03	4.779726e-03	4.249366e-02	4.303156e-02	2.029444e-02	5.035498e-03
21            	2.286079e-02	5.663458e-03	4.510147e-03	4.031566e-02	4.078221e-02	1.959872e-02	4.866918e-03
22            	2.236695e-02	5.613979e-03	4.475879e-03	3.833813e-02	3.874407e-02	1.870383e-02	4.700252e-03
23            	2.074133e-02	5.605041e-03	4.280703e-03	3.653517e-02	3.688879e-02	1.810785e-02	4.549206e-03
24            	1.965621e-02	5.581321e-03	4.257946e-03	3.488449e-02	3.519291e-02	1.736318e-02	4.397327e-03
25            	1.821272e-02	5.593167e-03	4.117198e-03	3.336700e-02	3.363681e-02	1.684884e-02	4.264734e-03
26            	1.784477e-02	5.585317e-03	4.100239e-03	3.196715e-02	3.220396e-02	1.622316e-02	4.140624e-03
27            	1.685456e-02	5.613779e-03	3.998422e-03	3.067188e-02	3.088033e-02	1.577358e-02	4.033357e-03
28            	1.658891e-02	5.618358e-03	3.989301e-03	2.947001e-02	2.965390e-02	1.524337e-02	3.937069e-03
29            	1.555924e-02	5.658774e-03	3.919313e-03	2.835189e-02	2.851412e-02	1.484575e-02	3.864484e-03
30            	1.498811e-02	5.671249e-03	3.916146e-03	2.730937e-02	2.745244e-02	1.439191e-02	3.802222e-03
31            	1.447573e-02	5.720169e-03	3.869825e-03	2.633508e-02	2.646118e-02	1.404046e-02	3.756282e-03
32            	1.565489e-02	5.743468e-03	3.870413e-03	2.542264e-02	2.553357e-02	1.365720e-02	3.718124e-03
33            	1.622131e-02	5.796554e-03	3.838837e-03	2.456624e-02	2.466374e-02	1.333979e-02	3.691500e-03
34            	1.661429e-02	5.822377e-03	3.842764e-03	2.376094e-02	2.384648e-02	1.301930e-02	3.669329e-03
35            	1.599728e-02	5.871445e-03	3.822937e-03	2.300235e-02	2.307721e-02	1.272406e-02	3.658869e-03
36            	1.611654e-02	5.899197e-03	3.825731e-03	2.228659e-02	2.235186e-02	1.245720e-02	3.655700e-03
37            	1.567824e-02	5.935121e-03	3.808422e-03	2.161021e-02	2.166680e-02	1.218831e-02	3.652791e-03
38            	1.605681e-02	5.945718e-03	3.805736e-03	2.097006e-02	2.101881e-02	1.195538e-02	3.642891e-03
39            	1.515029e-02	5.956748e-03	3.788898e-03	2.036330e-02	2.040498e-02	1.171303e-02	3.629375e-03
40            	1.463064e-02	5.944990e-03	3.780986e-03	1.978736e-02	1.982272e-02	1.150111e-02	3.605925e-03
41            	1.370204e-02	5.929676e-03	3.769197e-03	1.923991e-02	1.926968e-02	1.128117e-02	3.572684e-03
42            	1.328456e-02	5.894713e-03	3.764124e-03	1.871889e-02	1.874374e-02	1.108629e-02	3.519261e-03
43            	1.312740e-02	5.850388e-03	3.749448e-03	1.822251e-02	1.824298e-02	1.088456e-02	3.463556e-03
44            	1.323630e-02	5.790974e-03	3.737185e-03	1.774915e-02	1.776567e-02	1.070259e-02	3.411637e-03
45            	1.323280e-02	5.721719e-03	3.721425e-03	1.729731e-02	1.731022e-02	1.051647e-02	3.346084e-03
46            	1.371475e-02	5.640300e-03	3.707890e-03	1.686558e-02	1.687518e-02	1.034717e-02	3.266594e-03
47            	1.384477e-02	5.549162e-03	3.692171e-03	1.645265e-02	1.645922e-02	1.017603e-02	3.180325e-03
48            	1.448333e-02	5.447347e-03	3.683180e-03	1.605733e-02	1.606115e-02	1.001684e-02	3.089264e-03
49            	1.509075e-02	5.335462e-03	3.669368e-03	1.567854e-02	1.567981e-02	9.859171e-03	2.994937e-03
50            	1.492777e-02	5.215625e-03	3.646344e-03	1.531524e-02	1.531410e-02	9.710228e-03	2.901743e-03
51            	1.498232e-02	5.091328e-03	3.627940e-03	1.496653e-02	1.496320e-02	9.565988e-03	2.815944e-03
52            	1.579311e-02	4.963321e-03	3.611509e-03	1.463156e-02	1.462624e-02	9.427175e-03	2.735756e-03
53            	1.634850e-02	4.837384e-03	3.600402e-03	1.430953e-02	1.430242e-02	9.294200e-03	2.661641e-03
54            	1.657351e-02	4.703821e-03	3.593934e-03	1.399972e-02	1.399100e-02	9.162131e-03	2.593401e-03
55            	1.617867e-02	4.571505e-03	3.596582e-03	1.370146e-02	1.369128e-02	9.037993e-03	2.530725e-03
56            	1.514850e-02	4.443675e-03	3.603531e-03	1.341410e-02	1.340264e-02	8.917698e-03	2.475422e-03
57            	1.486493e-02	4.325456e-03	3.619068e-03	1.313707e-02	1.312447e-02	8.799123e-03	2.430360e-03
58            	1.587757e-02	4.210675e-03	3.643175e-03	1.286981e-02	1.285622e-02	8.683069e-03	2.396007e-03
59            	1.817238e-02	4.100216e-03	3.671255e-03	1.261179e-02	1.259737e-02	8.569148e-03	2.368833e-03
60            	1.807752e-02	3.993947e-03	3.702561e-03	1.236255e-02	1.234745e-02	8.455127e-03	2.348766e-03
61            	1.726492e-02	3.897354e-03	3.721646e-03	1.212166e-02	1.210604e-02	8.339631e-03	2.334610e-03
62            	1.616574e-02	3.809789e-03	3.729649e-03	1.188874e-02	1.187269e-02	8.223105e-03	2.318421e-03
63            	1.627372e-02	3.732836e-03	3.737232e-03	1.166342e-02	1.164701e-02	8.105638e-03	2.309319e-03
64            	2.000141e-02	3.669949e-03	3.741506e-03	1.144538e-02	1.142866e-02	7.988444e-03	2.304165e-03
65            	1.903774e-02	3.614636e-03	3.756183e-03	1.123429e-02	1.121732e-02	7.876421e-03	2.292827e-03
66            	1.901555e-02	3.568756e-03	3.792878e-03	1.102984e-02	1.101268e-02	7.768934e-03	2.285810e-03
67            	1.909279e-02	3.527339e-03	3.822223e-03	1.083174e-02	1.081444e-02	7.665418e-03	2.282517e-03
68            	1.867554e-02	3.483902e-03	3.841640e-03	1.063968e-02	1.062230e-02	7.566151e-03	2.279842e-03
69            	1.986698e-02	3.437862e-03	3.850588e-03	1.045347e-02	1.043601e-02	7.469808e-03	2.285178e-03
70            	2.136022e-02	3.387372e-03	3.853860e-03	1.027286e-02	1.025530e-02	7.375584e-03	2.303594e-03
71            	2.278181e-02	3.340851e-03	3.863936e-03	1.009761e-02	1.007994e-02	7.283135e-03	2.326451e-03
72            	2.421057e-02	3.301850e-03	3.891019e-03	9.927506e-03	9.909694e-03	7.192428e-03	2.335810e-03
73            	2.200881e-02	3.271039e-03	3.920218e-03	9.762316e-03	9.744362e-03	7.103337e-03	2.339509e-03
74            	2.152065e-02	3.231623e-03	3.980621e-03	9.601857e-03	9.583739e-03	7.015701e-03	2.330530e-03
75            	2.122645e-02	3.186295e-03	4.039855e-03	9.445939e-03	9.427634e-03	6.929535e-03	2.314389e-03
76            	2.064064e-02	3.152164e-03	4.109613e-03	9.294382e-03	9.275858e-03	6.844897e-03	2.297992e-03
77            	2.169743e-02	3.129195e-03	4.190677e-03	9.147014e-03	9.128202e-03	6.761852e-03	2.282153e-03
78            	2.134897e-02	3.108806e-03	4.284325e-03	9.003661e-03	8.984511e-03	6.680371e-03	2.262298e-03
79            	2.445923e-02	3.089854e-03	4.383481e-03	8.864151e-03	8.844662e-03	6.600146e-03	2.252619e-03
80            	2.185068e-02	3.077038e-03	4.481073e-03	8.728316e-03	8.708505e-03	6.521289e-03	2.239266e-03
81            	2.197965e-02	3.050958e-03	4.564379e-03	8.596030e-03	8.575905e-03	6.443189e-03	2.219082e-03
82            	2.248562e-02	3.033712e-03	4.641523e-03	8.467158e-03	8.446727e-03	6.366121e-03	2.201149e-03
83            	2.132881e-02	3.019877e-03	4.718673e-03	8.341579e-03	8.320854e-03	6.290229e-03	2.182594e-03
84            	2.090064e-02	3.009447e-03	4.795476e-03	8.219176e-03	8.198162e-03	6.215321e-03	2.171185e-03
85            	2.196683e-02	3.001150e-03	4.869018e-03	8.099817e-03	8.078542e-03	6.141595e-03	2.160369e-03
86            	2.165344e-02	3.004253e-03	4.940975e-03	7.983377e-03	7.961884e-03	6.069226e-03	2.148173e-03
87            	2.204101e-02	3.004758e-03	4.990968e-03	7.869757e-03	7.848086e-03	5.998532e-03	2.136038e-03
88            	2.226183e-02	3.026260e-03	5.038076e-03	7.758840e-03	7.737053e-03	5.929316e-03	2.123429e-03
89            	2.237656e-02	3.047215e-03	5.080236e-03	7.650512e-03	7.628689e-03	5.862400e-03	2.110991e-03
90            	2.415300e-02	3.082912e-03	5.125768e-03	7.544699e-03	7.522899e-03	5.797457e-03	2.090774e-03
91            	2.401626e-02	3.142583e-03	5.192333e-03	7.441307e-03	7.419597e-03	5.734934e-03	2.082006e-03
92            	2.537331e-02	3.185798e-03	5.223100e-03	7.340251e-03	7.318693e-03	5.674116e-03	2.082145e-03
93            	2.731572e-02	3.249173e-03	5.226416e-03	7.241565e-03	7.220128e-03	5.615308e-03	2.084207e-03
94            	2.870893e-02	3.296603e-03	5.230310e-03	7.145221e-03	7.123831e-03	5.557987e-03	2.077230e-03
95            	3.093494e-02	3.338684e-03	5.216280e-03	7.051137e-03	7.029732e-03	5.502476e-03	2.056264e-03
96            	3.132095e-02	3.402956e-03	5.238961e-03	6.959183e-03	6.937756e-03	5.448774e-03	2.053159e-03
97            	3.219595e-02	3.479793e-03	5.259203e-03	6.869285e-03	6.847831e-03	5.396436e-03	2.074463e-03
98            	3.221863e-02	3.544466e-03	5.238937e-03	6.781366e-03	6.759880e-03	5.345522e-03	2.098994e-03
99            	3.187334e-02	3.562924e-03	5.162185e-03	6.695365e-03	6.673825e-03	5.295312e-03	2.124305e-03
100           	3.325273e-02	3.547531e-03	5.013766e-03	6.611212e-03	6.589629e-03	5.245364e-03	2.129488e-03
101           	3.103557e-02	3.537733e-03	4.862657e-03	6.528843e-03	6.507236e-03	5.196200e-03	2.130970e-03
