,mod0lift,mod0drag,mod1lift,mod1drag,mod2lift,mod2drag,mod3lift,mod3drag,mod4lift,mod4drag,mod5lift,mod5drag,mod6lift,mod6drag,mod7lift,mod7drag
0,0.1982,0.0251,0.2734,0.0438,0.2379,0.0411,0.4515,0.0285,0.0492,0.0480,0.3015,0.0260,0.2378,0.0464,0.3402,0.0259
1,0.3901,0.0205,0.4852,0.0471,0.4646,0.0433,0.6587,0.0306,0.2740,0.0373,0.5127,0.0254,0.4774,0.0445,0.5739,0.0251
2,0.5937,0.0216,0.7100,0.0533,0.6736,0.0487,0.8238,0.0313,0.4773,0.0408,0.7214,0.0278,0.6913,0.0506,0.7787,0.0277
3,0.7947,0.0245,0.8824,0.0616,0.8650,0.0561,1.0302,0.0372,0.6624,0.0477,0.9327,0.0319,0.8657,0.0557,0.9574,0.0315
4,0.9963,0.0284,1.0746,0.0709,1.0276,0.0657,1.1872,0.0433,0.8505,0.0562,1.1067,0.0375,0.9799,0.0643,1.1540,0.0365
5,1.1803,0.0338,1.2206,0.0837,1.0605,0.0837,1.3389,0.0477,0.9904,0.0680,1.2837,0.0405,1.1361,0.0791,1.3178,0.0434
6,1.3562,0.0385,1.2144,0.1241,1.2227,0.0919,1.4975,0.0549,1.0565,0.0863,1.4258,0.0466,1.1975,0.0906,1.4911,0.0510
7,1.5122,0.0499,1.4430,0.1680,1.3165,0.1111,1.6216,0.0640,1.0960,0.1028,1.5939,0.0542,1.2803,0.1042,1.5976,0.0586
8,1.6044,0.0590,1.2959,0.1439,1.4524,0.1193,1.7024,0.0774,1.1837,0.1039,1.6904,0.0642,1.3508,0.1170,1.7238,0.0731
9,1.6930,0.0696,1.5007,0.1753,1.4938,0.1404,1.7394,0.0969,1.2573,0.1219,1.6748,0.0845,1.3601,0.1460,1.7704,0.0897
10,1.6300,0.1067,1.3265,0.1902,1.5368,0.1701,1.5710,0.1491,1.3278,0.1458,1.5679,0.1191,1.3299,0.1586,1.5354,0.1383
